
--- Planificación de Empleados (Días 0 a 29) ---
Calidad de la solución: 64243 (Satisfacción: 5243, Turnos cubiertos: 590)

Día  | Turno 0   | Turno 1   | Turno 2   | Turno 3   | Turno 4   | Turno 5   | Turno 6   | Turno 7   | Turno 8   | Turno 9   | Turno 10  | Turno 11  | Turno 12  | Turno 13  | Turno 14  | Turno 15  | Turno 16  | Turno 17  | Turno 18  | Turno 19  |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0     | e5        | e1        | e2        | Vacio     | e11       | e26       | e3        | e7        | e27       | e9        | e6        | Vacio     | e18       | e15       | e23       | e14       | e17       | e22       | e25       | e20       |
1     | Vacio     | e10       | e11       | e4        | e23       | e14       | e3        | Vacio     | e13       | e25       | e19       | e20       | e9        | e24       | e21       | e12       | e7        | e18       | e5        | e16       |
2     | e2        | e6        | e4        | e1        | Vacio     | e17       | e7        | e5        | e12       | e11       | e9        | e28       | e14       | e15       | e10       | e8        | e29       | e18       | e22       | e27       |
3     | e19       | e5        | e4        | e8        | e1        | e23       | e29       | e11       | e6        | e7        | e26       | e13       | e22       | e3        | e2        | e9        | e10       | e16       | e24       | e17       |
4     | e1        | e7        | e0        | e11       | e23       | e2        | e8        | e4        | e22       | e6        | e5        | e27       | e16       | e15       | e12       | e25       | e19       | e14       | e10       | e3        |
5     | e6        | e15       | e1        | e5        | e3        | e2        | e8        | e14       | e18       | e11       | e10       | e21       | e17       | e28       | e23       | e4        | e0        | e20       | e19       | e16       |
6     | e11       | e7        | e3        | e17       | e16       | e6        | e2        | e1        | e12       | e0        | e8        | e9        | e15       | e10       | e19       | e27       | e4        | e14       | e26       | e21       |
7     | e1        | e7        | e4        | e0        | e8        | e2        | e5        | e10       | e16       | e20       | e25       | e28       | e14       | e19       | e9        | e21       | e12       | e3        | e17       | e13       |
8     | e12       | e3        | e17       | e1        | e19       | e2        | e5        | e6        | e25       | e7        | e9        | e11       | e21       | e18       | e0        | e20       | e22       | e26       | e13       | Vacio     |
9     | e12       | e1        | e0        | e28       | e21       | e4        | e10       | e17       | e5        | e26       | e3        | e2        | e20       | e7        | e14       | e18       | e15       | e8        | e19       | e13       |
10    | e10       | e20       | e2        | e12       | e4        | e7        | e28       | e5        | e15       | e11       | e3        | e1        | e8        | e18       | e14       | e13       | e19       | e16       | e21       | Vacio     |
11    | e3        | e13       | e27       | e2        | e7        | e14       | e11       | e1        | e5        | e0        | e23       | e9        | e8        | e6        | e16       | e25       | e21       | e15       | e4        | e29       |
12    | e4        | e6        | Vacio     | e3        | e13       | e0        | e7        | e2        | e18       | e8        | e9        | e23       | e5        | e19       | e20       | e17       | e12       | e16       | e25       | e22       |
13    | e4        | e14       | e1        | e17       | e2        | e3        | e15       | e7        | e8        | e9        | e25       | e10       | e20       | e18       | e6        | e11       | e13       | e24       | e5        | e0        |
14    | e25       | e10       | e20       | e8        | e3        | e15       | e4        | e0        | e11       | e16       | e12       | e27       | e1        | e9        | e17       | e7        | e26       | e19       | e5        | e6        |
15    | e19       | e27       | e1        | e2        | e6        | e14       | e7        | e3        | e9        | e21       | e10       | e0        | e8        | e18       | e12       | e5        | e20       | e22       | e16       | e25       |
16    | e4        | e0        | e3        | e10       | e1        | e6        | e5        | e9        | e19       | e7        | e8        | e20       | e12       | e13       | e14       | e18       | e17       | e24       | e21       | e15       |
17    | e3        | e24       | e27       | e8        | e1        | e2        | e14       | e7        | e23       | e6        | e22       | e10       | e4        | e11       | e29       | e5        | e0        | e20       | e25       | e18       |
18    | e25       | e7        | e1        | e29       | e12       | e10       | e5        | e0        | e8        | e9        | e4        | e15       | e2        | e11       | e14       | e13       | e18       | e17       | e22       | e21       |
19    | e3        | e0        | e1        | e9        | e23       | e13       | e28       | e29       | e14       | e19       | e20       | e4        | e21       | e7        | e18       | e2        | e12       | e8        | e11       | e10       |
20    | e0        | e4        | e3        | e5        | e16       | e2        | Vacio     | e10       | e6        | e9        | e13       | e7        | e12       | e17       | e19       | e22       | e27       | e25       | e15       | e26       |
21    | e16       | e7        | e0        | e1        | e5        | e4        | e14       | e8        | e19       | e2        | e10       | e3        | e25       | e15       | e6        | e11       | e26       | e18       | e21       | e23       |
22    | e6        | e4        | e2        | e5        | e7        | e0        | e16       | e1        | e14       | e11       | e9        | e8        | e23       | e10       | e3        | e19       | e20       | e21       | e25       | e15       |
23    | e3        | e17       | e2        | e8        | e0        | e13       | e24       | e6        | e7        | e5        | e23       | e11       | e20       | e4        | e29       | e9        | e21       | e22       | e16       | e18       |
24    | e0        | e29       | e3        | e6        | e15       | e12       | e4        | e5        | e8        | e10       | e1        | e7        | e17       | e13       | e14       | e27       | e23       | e21       | e25       | e2        |
25    | e7        | e2        | e4        | e10       | e27       | Vacio     | e28       | e15       | e9        | e0        | e24       | e26       | e5        | e6        | e11       | e29       | e12       | e13       | e14       | e16       |
26    | e1        | e16       | e7        | e2        | e10       | e17       | e5        | e27       | e8        | e13       | e4        | e14       | e0        | e11       | e15       | e9        | e18       | e20       | e25       | e19       |
27    | e6        | e10       | e5        | e7        | e11       | e3        | e0        | e14       | e2        | e16       | e9        | e13       | e1        | e23       | e20       | e8        | e19       | e15       | e18       | e26       |
28    | e2        | e0        | e10       | e3        | e4        | e15       | e16       | e5        | e19       | e8        | e7        | e1        | e6        | e17       | e18       | e22       | e23       | e27       | e29       | e9        |
29    | e0        | e22       | e9        | e7        | e1        | e14       | e10       | e4        | e28       | e2        | e6        | e16       | e13       | e11       | e25       | e21       | e27       | e8        | e23       | e3        |
